Year,Electricity Imported,Value
2017,Total,897066,
2017,Fossil fuels,601034.22
2017,Coal,188383.86
2017,Nucelar power,44853.3
2017,Renewable sources,17941.32
2017,Others,44853.3
2018,Total,631293
2018,Fossil fuels,410340.45
2018,Coal,126258.6
2018,Nucelar power,37877.58
2018,Renewable sources,25251.72
2018,Others,31564.65
2019,Total,656756
2019,Fossil fuels,472864.32
2019,Coal,91945.84
2019,Nucelar power,39405.36
2019,Renewable sources,19702.68
2019,Others,32837.8
2020,Total,419810
2020,Fossil fuels,251886
2020,Coal,71367.7
2020,Nucelar power,46179.1
2020,Renewable sources,41981
2020,Others,8396.2
2021,Total,547250
2021,Fossil fuels,372348.9
2021,Coal,70814.15
2021,Nucelar power,35133.45
2021,Renewable sources,59157.725
2021,Others,9795.775
2022,Total,646139
2022,Fossil fuels,474201.4121
2022,Coal,78958.1858
2022,Nucelar power,16928.8418
2022,Renewable sources,58410.9656
2022,Others,17639.5947